Area,Price
72.16,200000000
39.15,119000000
84.9,890000000
59.22,330000000
41.71,127000000
76.26,233000000
60.37,350000000
29.37,95000000
187.4,2100000000
56.5,238000000
38.01,106000000
26.45,280000000
59.99,910000000
59.23,365000000
79.87,580000000
45.5,289000000
48.54,315000000
494.3,4250000000
81.01,590000000
579.72,2085000000
84.92,880000000
89.26,1260000000
57.31,205000000
