iter	Logloss
0	0.6755612077
1	0.6613375306
2	0.6470508883
3	0.6327290016
4	0.6204471832
5	0.6088903539
6	0.5972634012
7	0.5871095224
8	0.5776525072
9	0.5689139267
10	0.5604617632
11	0.5522125722
12	0.544356913
13	0.5373150781
14	0.5314449964
15	0.5261187162
16	0.5206131736
17	0.5148228066
18	0.5095143283
19	0.5056115355
20	0.5017403531
21	0.4974228909
22	0.4944766542
23	0.4902039031
24	0.4874804966
25	0.4850707682
26	0.482236733
27	0.4797219221
28	0.4766463078
29	0.4735961633
30	0.4704025455
31	0.467715245
32	0.4653757915
33	0.46344073
34	0.4613315078
35	0.4604783166
36	0.4591029249
37	0.4574473997
38	0.4564378757
39	0.4549368614
40	0.453011884
41	0.4516326882
42	0.4505702312
43	0.448897424
44	0.4481119682
45	0.4464835838
46	0.4456404528
47	0.4441506645
48	0.443179337
49	0.4423671758
50	0.4417151145
51	0.4409011307
52	0.4400824632
53	0.4392911708
54	0.4386960995
55	0.4376817467
56	0.4369730985
57	0.43590531
58	0.435264746
59	0.4343396475
60	0.4341162291
61	0.4338325486
62	0.4334455148
63	0.4327481972
64	0.4313709985
65	0.4308223373
66	0.4299423163
67	0.4290346067
68	0.4284849114
69	0.4279548443
70	0.4272784674
71	0.4266119184
72	0.4260475549
73	0.4256062587
74	0.4252946674
75	0.4243400937
76	0.423972397
77	0.4233585042
78	0.422997233
79	0.4226345956
80	0.4223163632
81	0.4218775969
82	0.4215556319
83	0.4209393227
84	0.4206291923
85	0.4200816435
86	0.4197818748
87	0.4189717407
88	0.4186801952
89	0.4183085006
90	0.4177858541
91	0.4175666467
92	0.4173329543
93	0.4170323136
94	0.4168311604
95	0.41646249
96	0.4159900409
97	0.4154604616
98	0.4151788764
99	0.4149771932
100	0.4146017
101	0.4141486611
102	0.4140280714
103	0.4138800083
104	0.4136677659
105	0.4132906967
106	0.4132235096
107	0.4128095933
108	0.4126900998
109	0.4124915079
110	0.4120771023
111	0.4116767672
112	0.4115745758
113	0.4111945556
114	0.4109510061
115	0.4107460178
116	0.4101713171
117	0.4098619062
118	0.409694942
119	0.4095668028
120	0.409173957
121	0.4087887754
122	0.4085896765
123	0.4082663534
124	0.408055157
125	0.4077147284
126	0.4076983004
127	0.4076281157
128	0.4074623563
129	0.4069548686
130	0.4066719301
131	0.4065043067
132	0.4063432745
133	0.4061702713
134	0.4055714659
135	0.4055385768
136	0.405103299
137	0.4049368346
138	0.4047555808
139	0.4045915749
140	0.4044853324
141	0.4040883277
142	0.4038192341
143	0.4034821486
144	0.4032047236
145	0.4031187963
146	0.4030725221
147	0.4029049928
148	0.4027131749
149	0.4026652995
150	0.4022970419
151	0.4020869533
152	0.4018475095
153	0.4016612681
154	0.4011843704
155	0.4010545808
156	0.4007692885
157	0.4003783874
158	0.4003441138
159	0.4000763251
160	0.3999569527
161	0.3997245142
162	0.3994800932
163	0.3993889504
164	0.399155062
165	0.3990547771
166	0.3988474247
167	0.3986613661
168	0.3985201007
169	0.398501108
170	0.3981828368
171	0.3980499182
172	0.3976277271
173	0.39741461
174	0.3971066886
175	0.3967520326
176	0.3965522115
177	0.3964892304
178	0.3957445298
179	0.3953248329
180	0.3952622114
181	0.3950826386
182	0.3950044204
183	0.3946785015
184	0.3943804361
185	0.3940257003
186	0.3937865054
187	0.3936093036
188	0.3934583297
189	0.3931368203
190	0.3930155581
191	0.3928185862
192	0.392778095
193	0.3926929141
194	0.3924539904
195	0.3920396464
196	0.3917702297
197	0.3916446075
198	0.3912356873
199	0.3911003796
200	0.3908796015
201	0.3907434668
202	0.3906019215
203	0.3904494732
204	0.3902780604
205	0.3902481021
206	0.3900526015
207	0.3897965801
208	0.3897547234
209	0.389629927
210	0.3895274529
211	0.3890835335
212	0.3885646668
213	0.3884835639
214	0.3883290889
215	0.3881852168
216	0.3879525911
217	0.3878425205
218	0.3878237118
219	0.3875738299
220	0.3871853524
221	0.3870961194
222	0.3869059317
223	0.3868672494
224	0.3867523827
225	0.3862338325
226	0.3859544535
227	0.3859259906
228	0.3857725105
229	0.3854718019
230	0.3853141098
231	0.3852951162
232	0.3852673586
233	0.385260779
234	0.3852535107
235	0.385222258
236	0.3848939056
237	0.3848190328
238	0.3847413038
239	0.3846747184
